Reviews,Size,Installs,Type,Price,'Content Rating',Genres,'Last Updated',Rating
299046,47,10000000,0,0,4,2,2018,4.5
5290,48,500000,0,0,1,11,2014,3.5
23104,48,1000000,0,0,1,11,2015,4
368,48,50000,0,0,2,2,2018,4
51067,48,5000000,0,0,3,2,2018,4
297,48,50000,0,0,3,2,2018,4.5
21223,48,1000000,0,0,3,8,2018,4.5
212067,48,10000000,0,0,1,11,2015,4.5
829753,48,50000000,0,0,1,3,2018,4.5
525517,48,10000000,0,0,1,8,2017,4.5
83891,48,10000000,0,0,1,2,2018,4.5
264282,48,10000000,0,0,3,7,2018,4.5
337752,48,5000000,0,0,3,2,2018,5
337913,48,5000000,0,0,3,2,2018,5
337913,48,5000000,0,0,3,2,2018,5
338742,48,5000000,0,0,3,2,2018,5
1591129,48,50000000,0,0,1,3,2017,5
21119,48,100000,1,4.99,1,9,2018,5
12257,49,1000000,0,0,1,11,2016,4
168,49,5000,1,1.99,2,3,2017,4
9183,49,1000000,0,0,4,2,2018,4.5
28151,49,1000000,0,0,2,11,2016,4.5
10806,49,5000000,0,0,1,11,2017,4.5
2123381,49,100000000,0,0,1,9,2018,4.5
2123793,49,100000000,0,0,1,9,2018,4.5
776730,49,10000000,0,0,2,2,2018,4.5
260527,49,10000000,0,0,1,3,2017,5
37139,49,1000000,0,0,2,2,2018,5
526595,49,10000000,0,0,2,3,2018,5
172281,50,5000000,0,0,1,5,2018,4
71476,50,1000000,0,0,2,2,2018,4.5
1012,50,10000,0,0,3,2,2015,4.5
10306,50,1000000,0,0,4,2,2018,4.5
10354,50,1000000,0,0,4,2,2018,4.5
10493,50,1000000,0,0,4,2,2018,4.5
10538,50,1000000,0,0,4,2,2018,4.5
1397944,50,10000000,0,0,3,2,2018,4.5
2032,50,50000,0,0,3,1,2018,4.5
1041836,50,10000000,0,0,3,2,2015,4.5
1117212,50,50000000,0,0,1,4,2018,4.5
100805,50,1000000,1,2.99,3,2,2014,5
280098,50,10000000,0,0,1,3,2018,5
27856,50,100000,1,2.99,3,2,2015,5
71468,51,1000000,0,0,3,1,2018,4.5
39698,51,5000000,0,0,1,3,2016,4.5
344819,51,5000000,0,0,3,2,2016,4.5
26744,51,500000,0,0,3,7,2018,4.5
137338,51,5000000,0,0,1,11,2018,5
260651,51,10000000,0,0,1,3,2018,5
2691,52,100000,0,0,3,8,2017,4
771001,52,50000000,0,0,2,2,2018,4.5
2251012,52,100000000,0,0,1,11,2018,4.5
1986068,52,50000000,0,0,3,7,2018,4.5
415,52,10000,0,0,4,8,2018,4.5
446434,52,10000000,0,0,1,1,2018,4.5
14198297,52,100000000,0,0,1,16,2018,4.5
14198602,52,100000000,0,0,1,16,2018,4.5
14200344,52,100000000,0,0,1,16,2018,4.5
14200550,52,100000000,0,0,1,16,2018,4.5
14201604,52,100000000,0,0,1,16,2018,4.5
14201891,52,100000000,0,0,1,16,2018,4.5
100609,52,1000000,0,0,3,2,2018,5
8038,52,100000,0,0,3,4,2018,5
466495,52,10000000,0,0,3,1,2018,5
355,53,10000,0,0,3,8,2018,4.5
45558,53,5000000,0,0,2,2,2018,4.5
240416,53,5000000,0,0,1,5,2018,4.5
5387639,53,100000000,0,0,1,11,2018,4.5
5387781,53,100000000,0,0,1,11,2018,4.5
5465624,53,100000000,0,0,3,2,2018,4.5
5476569,53,100000000,0,0,3,2,2018,4.5
5476569,53,100000000,0,0,3,2,2018,4.5
5534114,53,100000000,0,0,3,2,2018,4.5
62561,53,1000000,0,0,1,4,2018,5
4719,54,500000,0,0,1,2,2018,4
23168,54,1000000,0,0,3,8,2018,4
395,54,50000,0,0,3,2,2017,4.5
7279,54,1000000,0,0,1,11,2018,4.5
15763,54,1000000,0,0,1,3,2018,4.5
128367,54,1000000,0,0,1,3,2017,4.5
1381624,54,10000000,0,0,3,2,2017,4.5
1381820,54,10000000,0,0,3,2,2017,4.5
133180,54,1000000,0,0,2,3,2018,5
2180,55,100000,0,0,2,2,2018,4.5
249308,55,10000000,0,0,1,3,2017,4.5
13788,55,1000000,0,0,1,3,2017,4.5
137696,55,5000000,0,0,4,5,2018,4.5
16601,55,500000,0,0,3,15,2018,4.5
4487182,55,50000000,0,0,3,2,2018,4.5
41444,56,1000000,0,0,3,2,2016,4.5
794058,56,10000000,0,0,1,10,2018,4.5
1343106,56,10000000,0,0,3,2,2018,4.5
1343866,56,10000000,0,0,3,2,2018,4.5
192374,56,10000000,0,0,1,11,2018,4.5
12736,56,1000000,0,0,3,3,2017,4.5
125652,56,10000000,0,0,1,2,2018,4.5
208501,56,1000000,0,0,3,8,2018,4.5
168717,56,10000000,0,0,4,13,2018,4.5
2027,56,100000,0,0,3,8,2018,5
753043,57,100000000,0,0,3,2,2018,4.5
51791,57,1000000,0,0,1,11,2018,4.5
2178,57,500000,0,0,1,11,2018,4.5
19816,57,1000000,0,0,1,11,2017,4.5
1604146,57,10000000,0,0,3,2,2018,4.5
946926,57,50000000,0,0,1,14,2018,4.5
946926,57,50000000,0,0,1,14,2018,4.5
3883589,57,100000000,0,0,1,12,2018,5
37789,58,1000000,0,0,3,8,2018,4
2903386,58,100000000,0,0,4,2,2018,4.5
634159,58,10000000,0,0,3,2,2018,4.5
6181640,58,100000000,0,0,1,3,2017,4.5
4416,59,500000,0,0,3,7,2017,3.5
234606,59,10000000,0,0,1,2,2018,4.5
16876,59,1000000,0,0,3,6,2018,4.5
8432,59,500000,0,0,2,8,2018,4.5
121612,59,1000000,0,0,3,2,2017,4.5
